nTraces,pv_mean,pv_std,load_mean,load_std,sol,time,memory
1,268.02187499999997,276.81694997293374,314.1177083333333,168.27839903638332,386.73,5.68,82.89
1,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,382.94,5.68,82.83
1,266.50624999999997,273.8953361583049,315.028125,164.58755882959193,355.42,5.95,82.79
1,264.5416666666667,272.8576096407958,320.5239583333333,169.45243601622138,395.35,5.69,82.8
1,267.8604166666667,274.4615218474648,317.7645833333333,165.4162634204783,415.08,5.68,82.81
1,268.51145833333334,276.57818811240327,321.21979166666665,170.9025286407136,425.67,5.97,82.85
1,267.65208333333334,276.78592321020665,318.65208333333334,167.67194282981987,357.89,5.73,82.88
1,267.503125,274.99285576065614,321.6770833333333,170.0430744933757,448.89,5.66,82.9
1,277.45,278.03394576921715,328.87708333333336,168.0694836959595,419.85,5.58,82.97
1,268.02187499999997,276.81694997293374,314.1177083333333,168.27839903638332,386.73,5.71,82.84
1,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,461.6,5.78,82.85
1,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,412.06,5.59,82.83
1,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,389.98,5.62,82.77
1,272.559375,281.13062858531805,330.23645833333336,174.5874668085406,438.64,5.78,82.81
1,275.97291666666666,282.7801614030937,327.38854166666664,170.42978018196604,485.41,6.77,82.83
1,276.6458333333333,284.9630725040917,330.9583333333333,176.08089503754297,496.6,5.77,82.8
1,275.7604166666667,285.176073344451,328.30625,172.74973999769387,438.8,5.82,82.85
1,275.60625,283.3276514672324,331.42291666666665,175.19885099935175,512.51,5.71,82.8
1,285.85729166666664,286.46240218133033,338.840625,173.1644320786153,504.91,5.62,82.84
1,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,461.6,5.57,82.85
1,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,382.84,5.86,82.86
1,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,382.02,5.68,82.87
1,265.96875,273.34187968568625,314.38958333333335,164.2528636731378,354.1,5.7,82.81
1,264.0125,272.30506378034295,319.8822916666667,169.10803314424462,393.64,5.78,82.86
1,267.3177083333333,273.90808258839,317.12291666666664,165.07831441922664,411.58,5.76,82.76
1,267.9677083333333,276.01756265634305,320.5729166666667,170.5613461724541,422.22,5.71,82.74
1,267.109375,276.2262444831701,318.009375,167.33250398914146,353.71,5.79,82.81
1,266.9625,274.4400948787974,321.03020833333335,169.70052673741645,445.93,5.63,82.81
1,276.8927083333333,277.4744122004735,328.2114583333334,167.72929943674103,415.52,5.61,82.81
1,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,382.84,5.73,82.81
1,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,432.67,5.67,82.84
1,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,399.22,5.8,82.8
1,271.88958333333335,279.4281923556743,321.38437500000003,167.9097663975884,375.01,5.81,82.82
