var_0,var_1,var_2,var_3,var_4,var_5,var_6,time,memory
51.10532017506889,9.38203803784168,24.149948022855344,0,49,9,0,76.8371048,19.907481
51.451701729095426,3.0469681641497797,31.698426716896428,1,12,16,0,77.33784461,19.908291
38.99293218650726,28.3426354899042,11.641315104646418,1,30,27,0,77.92289448,19.905029
3.6572910607110076,28.444870441681747,4.771199076534129,1,39,41,1,77.87203288,19.911564
22.780046883574208,3.881828694640088,11.193071600710404,0,13,26,0,78.10922098,19.909106
10.876342036319949,28.57323385434806,6.993757416940167,1,47,42,1,78.10918665,19.909928
47.26123376215076,11.999374142878159,46.055235953215686,1,18,48,0,79.26289606,19.902584
10.376790762960123,20.08389657354001,16.657048446309602,1,48,15,1,79.34587646,19.900587
23.149174770967356,12.438486950887246,3.9112043776861785,0,16,10,1,79.34778214,19.903394
3.443294897188998,49.32181903541786,42.20047944355181,1,46,42,0,79.94556737,19.900112
29.27358015209698,40.40076413183958,5.879896107974107,0,29,51,1,91.59103656,61.543291
13.30449382154624,35.54040505637099,17.740862134861594,0,35,25,1,91.76003718,59.84519
26.68744905106631,5.688540865095548,49.294774538089555,1,19,32,0,92.56036258,61.736831
49.338666995657526,40.885834772462964,43.82776413992548,0,19,38,1,92.82264042,59.660784
5.564986353010856,38.135003904184714,29.800502358578544,1,42,47,0,93.08110476,59.857442
7.856192335010049,47.78535100469432,14.719134004945934,0,31,52,1,93.97097659,61.744034
52.889319244980705,26.21583212224329,41.70238853974869,0,38,30,1,94.77327323,61.748106
33.4973997436312,17.63171541223782,9.60557011578337,1,7,5,0,67.91997933,19.905175
9.26889306645139,30.698158024528887,31.480930356948075,0,34,46,0,68.1291039,19.905181
3.2428259629820784,50.43938313248399,3.0910760526603345,0,13,33,1,68.23393154,19.90475
4.024576484843757,3.3972124466520324,26.453418759531942,1,50,24,1,68.93777966,19.905178
37.96623367634892,11.870770944022164,34.64947599521742,1,27,50,1,66.04320836,19.905178
23.338742279984313,52.569378470679894,8.085425393470457,0,31,45,0,81.88700342,61.724771
5.898348861276794,48.14485511389196,10.992040725312973,0,22,31,0,66.46631646,19.886909
27.293279420163366,25.50308012665486,44.234471186832366,1,51,22,0,83.49616933,60.949839
36.89844076672494,52.18247162487557,29.768560195457933,1,7,47,0,84.46325159,61.742546
38.96783861406916,47.90533899736833,34.056148945375185,1,26,20,1,84.12099862,61.468053
34.22467212489831,3.3321363442102725,15.169478971500851,0,52,44,1,68.59878159,19.887443
10.452988222491976,18.54136896099233,31.79069135220689,0,11,28,1,68.25975323,19.905178
27.45378975858717,47.893713945462096,24.013421229818277,1,32,43,0,83.55384183,61.139039
52.67390566500871,20.46841620083087,33.007869954386415,0,41,52,1,84.62108922,61.198446
21.529754224180632,43.98438305637478,13.24092412881906,0,30,22,1,80.94563484,61.742542
41.95536079812342,49.213216272295966,17.696296457905895,0,34,23,0,82.01685071,61.722493
11.438130463027697,9.177217567457584,16.816113025775927,1,42,9,1,68.27196002,19.893853
11.54409777514458,48.587579284670504,42.20256304324804,1,9,52,0,66.49763966,19.896537
39.07003742032851,15.269800519195048,11.384065336981248,0,21,32,1,68.88922691,19.899609
40.496824565072394,26.874963326172907,3.7526191901273576,1,34,8,0,67.84457517,19.890107
3.1308137379863097,10.692718095672085,41.98552729070911,0,4,7,1,67.64230466,19.899614
35.61489791336446,15.077260169908842,24.148377874919596,0,35,34,0,82.13828063,61.736812
25.756300309344045,8.39865364684653,8.40214313941286,1,33,41,0,82.49240851,61.736804
9.612056669421857,42.56457266297843,46.8317246129752,0,9,19,1,66.90253401,19.898145
37.41259325047247,32.05664293304933,24.280295199271578,0,31,19,0,83.29591727,61.163266
21.369016830010185,42.49584092220196,51.86104318758805,1,34,12,0,81.61558867,57.947502
29.492369694882107,13.511954049493495,46.110875507456676,0,48,52,1,80.99111247,61.115597
39.43668817949773,40.77663714719475,42.33695954597003,0,29,14,0,82.15367723,59.843688
16.71535363211358,39.125880681935854,11.76455876999805,0,6,34,0,66.41779923,19.899607
7.950853576274076,22.840986877580036,23.58129579050199,1,8,44,0,81.63952065,61.728917
41.31228234659258,48.523448334050286,15.559678246819837,1,41,40,0,83.36591196,59.839541
49.47941079021979,17.351187907067597,27.581200148784625,0,46,8,1,84.80065942,61.735372
21.841802365855816,41.984914230363266,8.68264449345244,0,30,5,1,82.11784053,61.732125
4.934793613747256,45.17187111760325,33.84224784739621,1,21,44,0,82.18604875,61.730517
34.059652274258795,3.2466105076205207,52.53372927271458,1,27,14,1,68.49004149,19.901121
44.03020166651181,9.283520258830526,39.73141155412957,0,48,13,0,65.35908389,19.900459
52.17731347482278,26.979193766097033,51.93319966067875,0,27,5,1,82.37054682,61.736807
44.56646652724938,42.18548590145485,8.610708695894912,1,14,13,1,84.12745547,61.193454
26.515371386753362,40.745844411549356,51.553756174601006,0,52,8,1,81.24712896,61.736807
31.474477982531884,20.01884704331046,44.40067737119973,0,51,17,0,81.4758389,61.681028
35.32415890189219,48.46176318947582,45.25674763270482,1,45,7,1,81.29512548,61.129069
48.69187977258795,46.835066037624095,19.849298812600964,1,27,39,1,83.2694838,61.17308
51.15910702572965,42.15668093525079,34.2202208251386,1,8,14,1,83.20376921,61.739165
29.47354906845217,12.74053912535447,41.167614720471455,0,28,45,1,82.15797782,61.123111
12.46593364289955,14.021676850801937,26.887049622277715,0,14,40,1,80.92898798,61.736812
43.969005343072595,49.27779368659404,5.893049596579336,0,46,18,1,82.4387219,60.128217
28.7776202986411,28.86560905714353,36.915644122164075,0,42,34,0,82.06593347,60.464623
47.954690406359376,21.836125352185515,19.162138999160337,1,8,24,1,84.58691502,61.032168
31.785942864891904,20.229901963844043,21.599146545466386,0,15,16,1,81.67958379,59.843689
27.797088357831676,45.94180740928529,15.393803314732267,1,29,46,1,81.2108295,61.73698
36.230998078517004,4.293080224303754,49.88909766232774,0,27,28,0,82.53489995,61.736808
51.72022468028135,47.91244083120946,3.1498467986840835,0,39,47,1,66.2644608,19.901459
44.227258677293705,47.62279301049425,30.07200603231559,1,24,19,0,83.12993503,61.726248
13.570648668242836,36.65170792382527,3.063198673991203,1,23,47,0,66.97590351,19.902284
11.081750594860784,48.79482626330901,51.30568161174195,0,13,22,1,66.58748388,19.896538
16.28372850454533,17.685948074766543,13.621796939519733,0,19,4,1,82.22963715,61.72136
34.49946982986932,5.9183578356646365,35.22866495339942,0,50,5,1,81.87704086,61.733202
42.850134790840286,35.08575739533514,14.884059447869122,0,44,17,0,82.63015628,61.729451
15.173860803930046,21.306661633534116,33.869392834619205,1,51,51,0,82.05163121,59.834184
11.63447986539491,22.064526488735424,30.236956008426652,0,8,6,1,68.05175757,19.897073
46.540810961350104,42.51633998731352,17.05308863269662,0,14,17,1,83.84873366,61.722397
40.72250134434684,17.88514390111202,42.105201678967234,0,32,30,0,82.95800781,61.73594
21.914396842917522,30.124063803472588,39.091306038865916,0,6,23,1,81.80652475,61.725585
